건물 이름,출력 이름,해금 기술력,건설 비용,건설 시간,지원 비용,보수 비용,철거 비용,자금생산량,인구수 증가량,기술력 증가량,사랑 증가량,편의성 증가량,이미지 링크,부연설명,설립연도
Stru_GilSangSA,길상사,0,70,1,7,7,4,4,1,1,2,2,,"길상사는 고급 요정이었던 대원각의 소유주 김영한이 부지를 법정스님에게 기증하면서 1997년 창건된 사찰이다.\n김영한은 시인 백석과의 인연으로도 알려져 있으며, 재산을 수행과 나눔의 공간으로 돌려놓아 큰 울림을 남겼다.\n법정스님의 무소유 정신과 맑고 향기롭게 운동이 이어진 곳으로, 도심 속 수행과 시민 휴식의 공간이 되었다.\n기존 건물의 흔적과 사찰 건축이 조화를 이루어 서울의 현대 불교사와 나눔의 가치를 함께 보여준다.",건립연도(개관·조성연도): 1997년 창건
Stru_Dokripmun,독립문,40,120,1,12,12,6,4,1,2,3,2,,"독립문은 독립협회가 자주독립의 의지를 나타내기 위해 국민 성금을 모아 1897년 완공한 석조 기념문이다.\n청나라 사신을 맞이하던 영은문을 헐어낸 자리 부근에 세워졌으며, 파리 개선문을 참고한 서양식 석조 건축의 특징을 지닌다.\n1979년 성산대로 건설 과정에서 원래 위치보다 북서쪽으로 약 70m 옮겨졌고, 이전 공사는 1980년 마무리되었다.\n서울특별시는 과거 세척·보수와 이전 사업을 시행했으며, 현재는 서대문독립공원 일대의 역사 공간과 연계해 그 의미를 전하고 있다.",건립연도(개관·조성연도): 1897년 11월 완공 / 1979~1980년 이전
Stru_ChangPoWon,서울 창포원,300,220,2,22,22,10,8,2,1,2,6,,"서울 창포원은 도봉산과 수락산 사이에 조성되어 2009년 문을 연 생태공원이다.\n붓꽃류를 중심으로 다양한 습지식물과 약용식물을 관찰할 수 있어 서울의 대표적인 꽃·생태 명소로 알려져 있다.\n과거 개발되지 않은 부지를 녹지와 습지, 산책로가 어우러진 시민 휴식 공간으로 바꾸었다.\n서울특별시는 계절별 식물 관리와 생태교육·체험 프로그램을 운영하며 도심 생물다양성과 여가 공간을 함께 확충하고 있다.",건립연도(개관·조성연도): 2009년 6월 7일 개원
Stru_419,4.19 민주묘지,120,180,2,18,18,8,4,1,2,4,2,,"국립4·19민주묘지는 1960년 4·19혁명 과정에서 희생된 민주영령을 기리기 위해 1963년 조성되었다.\n4·19혁명은 학생과 시민이 독재와 부정선거에 맞서 대한민국 민주주의의 전환점을 만든 역사적 사건이다.\n1990년대 성역화 사업을 거쳐 1995년 국립묘지로 새롭게 조성되었고, 2006년 현재의 명칭을 갖게 되었다.\n묘역과 기념탑, 기념관은 희생자를 추모하고 민주주의의 가치를 교육하는 서울의 대표적인 역사 공간으로 활용되고 있다.",건립연도(개관·조성연도): 1963년 조성 / 1995년 국립묘지로 재조성
Stru_YoungMaPark,용마 폭포 공원,340,240,2,24,24,10,8,2,1,2,6,,용마폭포공원은 채석장으로 사용되던 용마산 절개지를 공원으로 바꾸어 1993년 용마돌산공원으로 개원했다.\n1997년 절벽 지형을 활용한 대형 인공폭포를 조성하면서 용마폭포공원으로 이름을 변경했다.\n거친 채석장 흔적과 폭포·연못·운동시설이 어우러져 산업 흔적을 시민 휴식 공간으로 재생한 사례로 평가된다.\n서울특별시와 중랑구는 공공미술과 체육·문화 프로그램을 더하며 공원의 경관과 활용도를 꾸준히 개선하고 있다.,건립연도(개관·조성연도): 1993년 개원 / 1997년 현재 명칭으로 변경
Stru_NationalMuseam,국립중앙 박물관,420,500,3,50,50,20,12,3,8,3,5,,"국립중앙박물관은 광복 직후인 1945년 개관했으며, 여러 장소를 거쳐 2005년 현재의 용산 건물로 이전했다.\n선사시대부터 근현대에 이르는 방대한 문화유산을 수집·보존·연구하고 국민에게 전시하는 대한민국의 대표 박물관이다.\n과거 조선총독부 청사를 박물관으로 사용한 시기도 있었으나, 해당 건물이 철거된 뒤 용산에 독립적인 박물관 단지가 마련되었다.\n현재는 전시와 교육, 보존과학, 국제교류를 수행하며 용산가족공원과 함께 서울의 주요 문화축을 형성하고 있다.",건립연도(개관·조성연도): 1945년 개관 / 현 용산관 2005년 개관
Stru_NamsaTower,남산 타워(N서울타워),250,350,2,35,35,14,24,4,2,2,5,,"남산의 방송 송신탑은 1971년 완공되었고, 전망 시설을 갖춘 뒤 1980년 일반에 공개되었다.\n서울 중심부의 높은 지대에 자리해 도심을 한눈에 바라볼 수 있으며, 오랫동안 서울의 대표적인 스카이라인과 관광 상징으로 자리해 왔다.\n2005년 시설을 새롭게 단장하면서 ‘N서울타워’라는 이름으로 재개장해 전망대·전시·문화공간의 기능을 강화했다.\n서울특별시는 2018년 이 시설을 서울미래유산으로 선정해 시민의 기억과 도시 경관 속 상징적 가치를 알리고 있다.",건립연도(개관·조성연도): 1971년 완공 / 1980년 일반 공개 / 2005년 재개장
Stru_SeoulScienceCenter,서울시립박물관(서울역사박물관),520,420,3,42,42,16,8,2,10,1,4,,"서울역사박물관은 서울의 역사와 생활문화를 수집·보존·연구하기 위해 2002년 개관한 서울특별시립 박물관이다.\n조선시대 한양에서 현대의 대도시 서울에 이르기까지 도시 공간과 시민 생활의 변화를 다양한 유물과 자료로 보여준다.\n박물관은 경희궁 터 인근에 자리해 주변 궁궐·성곽·근현대 유산과 함께 서울의 역사문화축을 이룬다.\n서울특별시는 여러 분관과 지역 조사, 기증·교육 사업을 운영하며 시민이 직접 서울의 기억을 공유하도록 지원하고 있다.",건립연도(개관·조성연도): 2002년 5월 21일 개관
Stru_SeoulForest,서울숲,480,420,3,42,42,16,8,4,2,2,8,,"서울숲은 뚝섬 일대의 경마장·골프장 등으로 사용되던 부지를 대규모 도시공원으로 바꾸어 2005년 개원했다.\n한강과 중랑천을 잇는 생태적 위치를 바탕으로 숲과 습지, 문화예술 공간, 가족공원 등이 조성되어 있다.\n조성 과정에는 시민의 기금과 자원봉사가 참여해 행정과 시민이 함께 만든 공원이라는 의미도 지닌다.\n서울특별시는 생태 복원과 정원 관리, 문화 프로그램을 이어가며 서울 동북권의 대표 녹지이자 시민 휴식처로 발전시키고 있다.",건립연도(개관·조성연도): 2005년 6월 18일 개원
Stru_LotteTower,롯데월드타워,900,1200,5,120,120,40,72,8,6,2,8,,"롯데월드타워는 지상 123층, 높이 555m로 건설되어 2017년 공식 개장한 초고층 복합건물이다.\n전망대와 업무시설, 호텔, 주거·상업시설을 한 건물에 결합했으며 서울의 현대적인 스카이라인을 대표한다.\n건설 과정에서는 초고층 안전과 교통, 석촌호수 주변 환경 등을 둘러싼 사회적 관심과 점검이 이어졌다.\n서울특별시는 사용 승인 전 민관 합동점검과 재난 대응훈련 등을 실시해 대규모 시설의 안전성과 도시 기반시설 영향을 검토했다.",건립연도(개관·조성연도): 2016년 완공 / 2017년 4월 3일 개장
Stru_Coex,코엑스,650,900,4,90,90,35,56,6,5,1,7,,"코엑스는 1979년 우리나라 최초의 대규모 상설 종합전시장으로 문을 연 뒤 여러 차례 확장된 국제 전시·컨벤션 시설이다.\n1998년 현재의 코엑스라는 이름을 사용하기 시작했고, 2000년에는 대형 지하 쇼핑몰과 부대시설이 본격적으로 문을 열었다.\n국제회의와 박람회, 공연, 무역 행사가 집중되면서 강남이 세계적인 비즈니스·관광 지역으로 성장하는 데 중요한 역할을 했다.\n서울특별시는 강남 일대의 국제교류복합지구와 관광·MICE 정책을 연계해 코엑스 주변의 국제행사 유치와 보행환경 개선을 추진하고 있다.",건립연도(개관·조성연도): 1979년 최초 전시장 개관 / 1998년 코엑스로 명칭 변경
Stru_BongEnsa,봉은사,0,80,1,8,8,4,4,1,1,2,2,,"봉은사는 통일신라 원성왕 때인 794년 연회국사가 견성사라는 이름으로 창건한 것으로 전해지는 천년고찰이다.\n조선시대에 봉은사로 이름이 바뀌고 왕실 원찰과 승과 시행 장소로 기능하면서 불교사에서 중요한 위치를 차지했다.\n추사 김정희가 생전에 쓴 것으로 알려진 ‘판전’ 현판과 여러 불교문화유산이 남아 있어 역사·예술적 가치가 크다.\n오늘날에는 초고층 건물과 전시장 사이에서 전통문화를 체험할 수 있는 공간으로, 현대 강남의 도시 풍경과 독특한 대비를 이룬다.",건립연도(개관·조성연도): 794년 창건
Stru_SeoulArtsCenter,예술의 전당,550,650,3,65,65,25,16,3,4,3,6,,"예술의전당은 국가적 복합예술공간 조성 계획에 따라 1988년 음악당과 서예관을 먼저 개관했다.\n1993년 오페라하우스가 문을 열면서 음악·공연·미술·서예를 아우르는 현재의 종합예술단지 모습을 갖추었다.\n오페라와 클래식, 연극, 전시 등 다양한 장르를 한곳에서 선보이며 한국 공연예술의 성장과 대중화에 큰 역할을 했다.\n서울 서초구의 대표 문화시설로서 주변 국립국악원과 함께 남부권 문화예술 거점을 형성하고 있으며, 서울의 문화관광 자원으로도 활용되고 있다.",건립연도(개관·조성연도): 1988년 1차 개관 / 1993년 전관 개관
Stru_SeoulNationalCemetery,서울국립 현충원,300,650,2,60,60,25,0,3,3,5,4,,"국립서울현충원은 국가를 위해 희생한 군인과 독립유공자 등을 안장하기 위해 1955년 국군묘지로 조성되었다.\n1965년 국립묘지로 승격되면서 국가원수와 애국지사, 순국선열 등으로 안장 대상이 확대되었다.\n한국전쟁과 독립운동, 현대 국가 형성 과정에서 희생된 인물들의 묘역과 위패를 통해 대한민국의 근현대사를 돌아볼 수 있다.\n현재는 추모식과 현충일 행사, 전시·교육 프로그램이 열리는 국가적 추모 공간이자 서울의 중요한 역사문화 장소이다.",건립연도(개관·조성연도): 1955년 조성 / 1965년 국립묘지 지정 / 2006년 현재 명칭 사용
Stru_SeoulUniv,서울대학교,700,1000,5,100,100,40,12,6,12,2,5,,"서울대학교는 1946년 여러 관립 교육기관을 통합해 설립된 대한민국 최초의 국립 종합대학교이다.\n초기에는 서울 여러 지역에 단과대학이 흩어져 있었으며, 1970년대 관악캠퍼스 건설을 통해 대부분의 교육·연구 기능을 한곳으로 통합했다.\n관악캠퍼스 이전은 대학의 규모 확대와 연구 중심 체제 형성에 중요한 전환점이 되었다.\n현재는 교육·연구와 산학협력을 수행하는 대표 대학으로, 관악구의 지역 발전과 서울의 지식·혁신 생태계에도 큰 영향을 주고 있다.",건립연도(개관·조성연도): 1946년 개교 / 1975년 관악캠퍼스 이전 본격화
Stru_63building,63빌딩,650,850,4,85,85,30,48,6,4,2,6,,"63빌딩은 한강 여의도에 1985년 완공된 지상 60층 규모의 초고층 복합건물이다.\n완공 당시 아시아에서 가장 높은 빌딩으로 널리 알려지며 고도성장기 서울의 경제 발전과 현대화를 상징했다.\n황금빛 외관과 전망대, 수족관 등으로 한강과 여의도를 대표하는 관광 명소가 되었다.\n이후 더 높은 건물이 들어섰지만, 1980년대 서울의 스카이라인을 기억하게 하는 상징적 건축물로서 여전히 중요한 의미를 지닌다.",건립연도(개관·조성연도): 1985년 5월 완공 / 1985년 7월 27일 개관
Stru_NationalAssemblyBuilding,국회의사당,620,750,4,75,75,28,12,6,3,3,7,,"현재의 국회의사당은 대한민국 입법부의 독립적인 의사 공간을 마련하기 위해 여의도에 건립되어 1975년 준공되었다.\n대형 돔과 화강암 기둥으로 구성된 외관은 국민의 다양한 의견을 모아 하나의 결론을 만든다는 상징성을 담고 있다.\n이곳에서는 국회의 본회의와 상임위원회, 국정감사 등 국가의 주요 입법·정치 활동이 이루어진다.\n여의도가 정치·금융·방송의 중심지로 성장하는 데 핵심적인 역할을 했으며, 대한민국 현대 정치사의 중요한 사건들을 지켜본 장소이다.",건립연도(개관·조성연도): 1969년 착공 / 1975년 9월 1일 준공
Stru_GaSanDigitalComplex,서울디지털산업단지,700,850,4,85,85,30,60,7,8,1,5,,가산디지털단지는 1960~1970년대 조성된 구로공업단지의 제2·제3단지를 뿌리로 하는 산업 지역이다.\n초기에는 섬유·봉제·전자제품을 생산하는 수출 공장이 밀집해 대한민국 산업화와 수출 성장에 큰 역할을 했다.\n2000년 구로공업단지가 서울디지털산업단지로 이름을 바꾸고 지식산업센터가 들어서면서 정보통신·소프트웨어 중심지로 변화했다.\n서울특별시와 금천구는 교통·보행환경과 산업 지원시설을 개선하며 제조업의 기억과 디지털 산업이 공존하는 지역으로 발전시키고 있다.,건립연도(개관·조성연도): 1960년대 후반~1973년 조성 / 2000년 서울디지털산업단지로 개편
Stru_GochuckDOm,고척스카이돔,720,500,3,50,50,18,28,5,2,2,6,,"고척스카이돔은 2015년 문을 연 대한민국 최초의 돔형 야구장이다.\n날씨와 계절의 영향을 적게 받는 실내 경기장으로 건설되어 프로야구와 국제경기, 대형 공연 등을 개최할 수 있다.\n개장 이후 야구뿐 아니라 콘서트와 문화행사를 유치하며 서울 서남권의 대표적인 체육·공연 시설로 자리 잡았다.\n서울특별시는 시설을 소유하고 서울시설공단을 통해 운영하며 안전관리와 관람환경 개선을 이어가고 있다.",건립연도(개관·조성연도): 2015년 11월 4일 개장
Stru_GuroDigitalComplex,구로 디지털 단지,700,800,4,80,80,30,56,7,8,1,5,,"구로디지털단지는 1967년 완공된 구로공업단지 제1단지를 중심으로 성장한 서울의 대표 산업 지역이다.\n1970~1980년대에는 섬유·봉제·전자 수출 공장과 노동자가 밀집해 한국 산업화의 빛과 노동 문제를 함께 보여주는 장소였다.\n2000년 서울디지털산업단지로 이름을 바꾼 뒤 공장 부지가 지식산업센터와 정보기술·벤처기업 공간으로 빠르게 전환되었다.\n서울특별시와 구로구는 교통과 보행, 창업·산업 지원을 강화하며 노후 공업단지를 디지털 경제 거점으로 재생하고 있다.",건립연도(개관·조성연도): 1967년 구로공업단지 제1단지 준공 / 2000년 현재 명칭 체계로 개편
Stru_IceLink,목동아이스링크,500,350,2,35,35,14,16,3,1,2,5,,목동아이스링크는 목동종합운동장 단지에 건립되어 1989년 문을 연 서울의 대표적인 빙상 경기장이다.\n국제 규격의 주경기장과 보조링크를 갖추어 쇼트트랙·피겨스케이팅·아이스하키 경기와 훈련에 활용되어 왔다.\n각종 국내외 대회와 시민 강습이 열리며 엘리트 체육과 생활체육을 함께 지원하는 역할을 한다.\n서울특별시는 시설 운영과 정비를 통해 빙상 종목의 저변 확대와 시민의 체육 활동을 지원하고 있다.,건립연도(개관·조성연도): 1987년 착공 / 1989년 12월 1일 개장
Stru_GimPoAirPlane,김포공항,140,700,4,70,70,25,40,5,4,1,6,,"김포공항은 1939년 일제강점기에 군용 비행장으로 조성된 데서 역사가 시작되었다.\n광복 후 미군이 사용하다가 민간 항공 운항이 확대되었으며, 1958년 김포국제공항으로 공식 지정되었다.\n2001년 인천국제공항 개항 전까지 대한민국의 대표 국제 관문이었고, 이후에는 국내선과 일부 근거리 국제선을 중심으로 운영되고 있다.\n서울 서부의 교통 중심지로서 지하철과 철도망이 연결되어 있으며, 공항 주변에는 복합문화·상업 기능도 함께 발전하고 있다.",건립연도(개관·조성연도): 1939년 비행장 개설 / 1958년 국제공항 지정
Stru_JosunChongdokBu,조선총독부,0,100,2,10,10,0,0,0,1,0,0,,"조선총독부 청사는 일제가 식민 통치를 상징적으로 드러내기 위해 경복궁 흥례문 권역을 훼손하고 1926년 완공한 건물이다.\n광복 뒤에는 미군정청과 대한민국 중앙청으로 사용되었고, 이후 국립중앙박물관으로 활용되기도 했다.\n경복궁의 중심축과 경관을 가로막은 식민지 통치의 상징이라는 이유로 1995년 광복 50주년에 철거가 시작되어 1996년 완전히 해체되었다.\n철거 뒤에는 경복궁 복원 사업이 본격화되었으며, 일부 건축 부재는 독립기념관에 옮겨져 식민지 역사를 설명하는 자료로 전시되고 있다.",건립연도(개관·조성연도): 1926년 준공 / 1995년 철거 시작 / 1996년 철거 완료
Stru_DDP,동대문디자인플라자(DDP),850,900,4,90,90,35,40,5,6,3,7,,"동대문디자인플라자는 옛 동대문운동장 부지에 서울특별시가 조성한 복합 디자인·문화시설로 2014년 개관했다.\n건축가 자하 하디드가 설계했으며, 곡선형 알루미늄 외관과 기둥이 거의 드러나지 않는 넓은 실내 공간이 특징이다.\n건설 과정에서 발굴된 한양도성 관련 유구와 이간수문 등은 동대문역사문화공원에 보존·전시되어 장소의 역사를 함께 보여준다.\n서울특별시는 전시·패션쇼·서울라이트·디자인행사 등을 운영하며 DDP를 동대문 상권과 서울 디자인산업을 연결하는 거점으로 활용하고 있다.",건립연도(개관·조성연도): 2013년 11월 완공 / 2014년 3월 21일 개관
Stru_DongDaeMun,흥인지문(동대문),0,120,1,12,12,6,4,1,2,3,2,,"흥인지문은 1396년 한양도성을 쌓을 때 동쪽의 정문으로 처음 건립되어 흔히 동대문이라고 불린다.\n1453년에 고쳐 지었고, 현재 남아 있는 문은 1869년 흥선대원군 집권기에 다시 세운 것이다.\n서울의 사대문 가운데 유일하게 성문 바깥에 반원형 옹성을 갖추어 방어 기능을 강화한 구조가 특징이다.\n현재는 종로구가 관리하고 있으며, 서울특별시의 한양도성 보존·정비 사업과 연계되어 조선 수도의 성곽 체계를 보여주는 핵심 유산으로 남아 있다.",건립연도(개관·조성연도): 1396년 최초 건립 / 현 문루 1869년 중건
House1,주택가1,0,30,1,5,5,3,4,3,0,0,1,,설명글 추가 예정,임시
House2,주택가2,10,45,1,7,7,4,4,4,0,0,1,,설명글 추가 예정,임시
House3,주택가3,25,70,2,10,10,5,8,5,0,0,2,,설명글 추가 예정,임시
House4,주택가4,45,95,2,12,12,6,8,6,0,0,2,,설명글 추가 예정,임시
DistrictOffice,{지역이름}구청,30,150,2,20,20,10,0,10,0,0,8,,설명글 추가 예정,임시
School,학교,40,120,2,15,15,8,0,2,1,0,3,,설명글 추가 예정,임시
University,대학교,120,280,4,35,35,15,0,5,2,0,2,,설명글 추가 예정,임시
